bacteria_name,ph,temperature,density_hour_0,density_hour_1,density_hour_2,density_hour_3,density_hour_4,density_hour_5,density_hour_6,density_hour_7,density_hour_8,density_hour_9,density_hour_10,density_hour_11,density_hour_12,density_hour_13,density_hour_14,density_hour_15,density_hour_16,density_hour_17,density_hour_18,density_hour_19,density_hour_20,density_hour_21,density_hour_22,density_hour_23
Streptococcus pyogenes,7.0,29.9,481326.3932973831,471699.86543143546,473978.7785991909,465904.8745207688,490866.7696249336,644294.3313505703,803713.7487917297,1011310.840958668,1342417.3130218703,1825354.745918368,2361811.525208801,3004513.758462723,4098498.731055086,5039786.6809778595,6726344.605207224,8967186.856606115,375549183.47714686,376966942.2925125,390298057.10721374,382492095.9650695,391123197.1773379,386747474.29462326,385986565.6155755,391400826.4223602
Staphylococcus aureus,7.9,42.5,423620.05062986,415147.6496172628,423867.3034016644,436372.3900004463,427644.94220043736,440397.6012941367,431589.649268254,428902.0482411018,449504.7690583805,440514.6736772129,452349.46676648135,443302.4774311517,434436.4278825287,425747.6993248781,436777.6582863316,439354.5171865536,430567.42684282246,441590.2092109911,432758.4050267712,429828.35683990055,452791.0840111213,443735.2623308989,434860.55708428094,431561.4233942174
Pseudomonas aeruginosa,7.0,33.0,156529.57641931143,155720.1377138865,169903.90536948782,808996.5780869814,3691590.5254672184,18915531.703870937,86823261.57065001,445571199.5714444,764621210.7135917,826062957.3513613,809541698.204334,793974948.7145016,787126777.5693848,790497323.552958,790965691.5169255,826904059.9494843,828887543.177991,812309792.3144312,806407134.6172918,809414408.4240979,813985022.4971484,797705322.0472054,801167346.5712122,826791408.9249794
Escherichia coli,6.5,34.8,355308.3890188064,351511.33311762346,352322.53514511295,1069135.9610650188,6499988.840184531,43375170.31709684,286272624.9497121,818644532.8260111,856305259.7832285,839179154.5875639,822395571.4958125,809761844.4944223,804971788.3752964,788872352.6077905,811164094.6382483,821531770.1346735,807748441.4024006,791796737.0938069,813405212.5193313,808971866.237776,810767983.2166712,794552623.5523378,778661571.081291,783187518.5378438
Pseudomonas aeruginosa,7.9,26.5,404178.69862942334,399565.72699097736,409766.4996530518,401571.1696599907,393539.74626679096,385668.9513414551,404133.26689160865,396050.6015537765,389773.3127373144,405410.1380091409,397301.935248958,389355.8965439788,407004.2809827797,398864.1953631241,403302.479240441,405802.607241574,449707.82755351206,493586.72639021615,600875.0353837528,697720.7723657445,801054.5071204838,954172.1471937835,1058729.7125945992,1209852.1527350051
Streptococcus pyogenes,7.6,38.8,96431.9478239266,97369.4350501197,95422.04634911731,177064.7823956619,596667.8974549713,2105911.116639594,7055855.691384699,23051238.68208756,78722793.29907812,274877535.2906924,649609855.001793,659550136.5135746,696156987.384511,682233847.6368208,684383748.6679529,685456438.5876412,686643839.2116189,687592042.494648,673840201.644755,660363397.6118599,655189948.4921433,645612065.2325909,661069900.7274526,652630790.1990111
Staphylococcus aureus,7.8,12.8,305538.9226564106,321591.1547285839,285302.6948371257,239686.8573022702,305229.63366588677,268728.3258156638,300187.7178398059,257100.6268020692,273105.6223271137,222301.24621229217,250242.63345500472,270194.5030312722,258416.93224395637,231388.7398732171,202938.8048637826,207044.4159552268,214609.6268832078,212746.92762011843,243084.5599669053,221851.0449220856,227703.1929942473,196268.88403918463,203691.98029010143,234533.7399702564
Streptococcus pyogenes,5.1,26.2,62813.2142904522,55415.959593847016,59700.96394116619,45646.78801621332,56466.87090847579,58326.944665655166,49395.12196306193,48861.62653254889,54965.07179946938,48204.38062606078,46691.08473457488,42859.74192851308,52580.874822566024,39218.19600847236,43646.78321033995,42151.667724383566,38234.94371143103,39926.17036180563,39750.664992078,38245.796300263675,33749.89745008008,34695.46405177408,30667.786493649943,33943.352119966934
Staphylococcus aureus,5.4,33.7,258569.71076036012,236854.6739211514,221452.40266194963,216973.18226239752,213878.88914366465,221101.82898255897,178739.7054961981,221399.45211730528,196427.21861467353,198669.90338203852,162214.04618207176,193418.68129794457,147154.1966351307,163558.0440457632,190514.41260500465,148983.11536797343,179459.50604031826,171859.05419714263,134509.1858612915,170676.54715600665,161894.54158383037,135622.2380263514,157421.52495292397,141882.765653725
Pseudomonas aeruginosa,8.9,35.5,296415.2665262782,318859.09546156175,285169.21608632454,300397.662699128,240700.75865584743,246977.1701803761,307597.8529569591,288115.5084695832,283115.81706562964,262217.8911961214,264060.7366839665,273618.76948596915,220984.07814456857,274802.13430034404,189155.94713520404,250834.78667390568,254164.99268163732,178636.4977490214,199036.33952306997,213481.08214729463,249123.52327698655,232218.62786344395,242436.1242809792,177448.2468745566
Escherichia coli,6.9,42.3,129322.01503033072,129237.47460470878,133900.71863448457,707500.668573304,13408098.278602837,232801629.2677783,810932506.2750851,829088219.1790758,823771797.7509353,870058613.867523,859950343.1458174,842751336.282901,836780589.9657296,820044978.166415,838245172.5284662,836667567.9017066,823761010.4576415,817802553.8112934,820323976.108005,825798690.6421369,822412310.6286645,857390740.6313144,840242925.818688,841344322.7509041
Pseudomonas aeruginosa,7.4,27.4,302892.3472364691,315788.82953454653,320627.46989123896,332908.68030914536,331188.7469438862,324564.9720050085,330457.3470723806,323848.20013093296,317371.2361283143,402552.55755461473,549609.453737371,708997.5259881696,959979.727516598,1365613.4978131405,1735088.690144816,2358547.545045363,3167152.8445852976,4302381.758821072,5551450.499151279,7720058.188556171,371832516.5619682,364395866.23072886,374300070.7064156,368118774.56302565
Bacillus subtilis,9.4,26.1,361479.32420731,347852.9679411095,327904.71858495474,306722.70161321614,329439.2117212151,271522.4374571228,297002.46647868905,322115.4487797889,348525.83667955396,297751.58339539345,268133.1466412188,300203.18724564515,290950.9916513849,245894.52728636292,214712.1743523877,246267.58180081163,219039.9822327612,234902.7634576709,243534.14712236132,225375.89360796812,262046.82157444133,164454.65054440944,235305.05333855687,228812.7835465692
Escherichia coli,7.8,24.1,177946.21692996766,176932.70359243566,179511.50538223056,187100.8482932447,183800.95934308163,188351.3482761617,184584.32131063848,180892.6348844257,177274.7821867372,190054.8752864779,192639.22058783748,194507.018818327,190616.8784419605,186804.54087312124,193059.25332265045,189198.06825619744,185414.1068910735,188599.61762646577,184827.62527393643,190783.72207773515,186968.04763618045,186309.43586451656,188985.13789870124,198923.65517054943
Streptococcus pyogenes,7.7,40.5,177106.8104984377,177672.60687525646,174119.15473775132,212582.9341388472,833809.2470399423,3476545.695047844,13618894.9593452,58291828.53890465,219990884.40516296,567692861.1034886,621745797.8261809,609310881.8696573,602816440.5734638,600303536.6540072,594207695.3446456,609205554.3765551,598050405.1954792,600829834.4977285,596704092.7959411,584803583.130454,606548344.3687545,594417377.4813794,589071454.9947052,577290025.894811
Pseudomonas aeruginosa,6.0,34.5,130513.57680053,153618.7982571227,164447.64110147557,156471.78506978712,155302.81953820027,152696.7348662256,124573.17517709536,123759.10070938773,122629.22276913605,117168.01925834498,116451.79891264431,104244.6154715991,116878.43548413196,114639.84350233544,99476.50904925534,101614.9526644178,99676.26801558414,94440.52641865924,92426.8066350372,86521.59217343139,92579.04695533287,99489.21344551278,91355.01211358568,97630.0136251493
Bacillus subtilis,7.8,45.3,338395.4275262495,333638.26675134647,328582.2518802507,352485.13631203526,345435.4335857945,351673.91279535997,344640.4345394528,345085.1490629466,338183.4460816877,331419.77716005396,324791.3816168529,339272.7761719151,347226.8036344318,346353.6850826529,349098.65366272104,342116.6805894666,335274.34697767725,331938.2699799768,343394.3918248275,359147.04998498055,422133.4228984533,525054.190533612,629978.8907186977,781927.2548770566
Escherichia coli,5.3,20.4,346659.42768566683,328310.15399081924,398177.3796020669,335258.47442745074,390152.98737751227,239398.4169525084,341061.261040071,304446.43317818874,344071.70030906965,292069.2497321517,293065.53152384044,266232.1140491917,280884.07010681,278089.3633274084,196594.47205317393,234545.44409293335,289944.37672698416,244623.156870247,241600.00473100244,238425.19734447452,249136.0312907049,261066.41689597553,179283.89568605856,219769.3809425121
Staphylococcus aureus,6.9,43.2,103069.4440963169,101008.05521439057,104216.84910462928,104960.20555695324,106576.19987842844,105729.03185865923,103614.45122148606,102346.6362896373,101546.88030696585,108681.72879186232,106508.09421602509,104377.93233170456,103075.12028811956,101682.3185043,102157.09191517836,104064.19196774586,105459.03756550458,103349.85681419449,109798.5763495149,107842.33688356112,107156.87861169284,105013.741039459,103484.28571886531,107198.27710524776
Streptococcus pyogenes,6.0,41.6,243280.98439405236,274871.79887600534,286127.1370964196,199100.29686440897,265357.69978566654,259011.1412070985,253225.23544568024,252790.79014116988,244956.64648576517,215158.5370510518,221421.9972726409,196715.9556179187,207534.37668579828,197701.81264413503,190138.9412678706,206497.71286318003,182966.3743595,187575.0149439837,148484.23974349845,184186.76861814485,171283.92169688898,168999.09610675747,198973.9666952685,140930.05403820387
Escherichia coli,7.6,34.2,287367.4405650893,296385.89966930414,290458.18167591805,532853.8491369821,3221624.5283905896,18619019.431053273,116167198.7038142,673698621.252738,733603323.2488934,765437075.7168866,775897451.5346605,760379502.5039673,753741204.6223106,784241026.2625489,777089760.3376715,766467567.3008673,751138215.95485,747201245.6425033,734088200.0165966,769278749.1170942,753893174.1347523,759728992.4198759,751887812.6786517,736850056.4250786
Escherichia coli,6.1,27.9,323806.08801432466,322184.2872722749,325480.20589313103,332607.36428703374,336685.70803895657,335452.445390026,328743.3964822255,345301.2954106098,338395.2695023976,359189.1621902384,352005.37894643366,344965.27136750496,338065.96594015486,350577.02803314984,343565.48747248686,401370.04726851056,475267.48133921623,597219.1742220997,750054.0771460396,882433.749975849,1122565.098351667,1393543.787939715,1628064.8100554594,2015954.7793036185
Streptococcus pyogenes,8.8,35.7,191903.69374763308,189011.6866652032,243090.20044633705,226724.7742697629,172241.25983236663,211200.91492263725,161832.57530580193,166650.11541293835,194557.18352480797,208785.33431147868,179559.4760941346,213613.12258716565,183126.5030920416,165806.92370571586,194049.859380104,142823.464180595,149548.32750965646,156563.2343341649,152393.7164544121,156864.61949664343,124332.5911082288,135714.81731754297,119097.7058393439,130427.2166261534
Escherichia coli,4.6,26.5,218853.4803819416,159975.4922541763,203102.61026470567,170830.3258497465,145016.0180950071,161281.97683038097,161958.53441810852,159714.4099310492,161245.28372691295,171184.80111357075,171671.47384852354,156576.94211663585,143918.14904898556,139832.04134930685,136717.19757029304,112253.65274884844,146621.5878627054,142599.30628280883,123141.3913123383,126151.73888663435,132441.69011855457,96590.370479423,122383.30806410791,117468.12588313816
Pseudomonas aeruginosa,7.9,32.7,76302.51066480885,74776.46045151267,74056.85972724252,79425.89510366484,77837.37720159153,76997.39628300455,77310.76776872462,75764.55241335013,87207.8852195934,140362.68675285912,220288.04752454505,337383.6993660925,531470.6707631118,860419.3036558507,1398408.780317611,2231248.5285317115,3629474.570762456,5443877.571927172,9067364.697742129,13660329.530802283,380211559.9282399,389395874.2596809,393115391.3373602,385253083.51061296
Bacillus subtilis,6.6,31.8,35360.315555780035,36822.76210804186,206516.36749321411,1553800.0102181798,12408743.56615036,98118788.9389072,775967355.874109,999939208.612019,1057756775.154566,1056224821.3938948,1067517189.6659328,1046166845.8726144,1072737822.9753364,1073979154.8262146,1052499571.7296902,1038461025.0988802,1032368379.6818712,1051799678.4141158,1062104089.593042,1053990940.6551464,1032911121.8420436,1041990169.3581368,1074502183.1200316,1053012139.457631
Pseudomonas aeruginosa,6.3,30.9,304819.9813572622,303541.97212987725,319699.06734060013,325796.80208982085,319280.86604802444,312895.24872706394,325078.6406290869,318577.06781650515,501386.7286670573,760475.1268656588,1043088.732246407,1743437.2935165586,2805511.7807526044,4193947.328262857,6439129.872315905,10511099.605819644,15467426.68368332,23932830.780273434,38060393.64647253,403780147.8192791,407468047.0821563,407331779.67294174,416251791.58808213,426060767.211729
Bacillus subtilis,7.7,35.5,478637.5158700415,502635.5097019533,592686.5317091612,1653782.4967348971,3948645.319167347,10119448.811388891,27564877.646550015,70270936.81544843,174851137.99178255,439334321.59176505,656389945.433529,700101418.9262627,710643365.2540661,710877186.0538893,696659642.3328115,688776214.5975804,684312662.2859348,693282109.9687068,697166543.1901097,703443569.934692,689374698.5359982,681362127.1510826,692825847.260279,722284742.8133546
Streptococcus pyogenes,7.0,31.7,237554.25666262425,235723.19761808647,231008.73366572475,240600.23431650276,351645.16356585134,780561.848056865,1593014.565548074,3403564.099315274,7340699.5400708,15310931.150268195,32503029.990562048,66788805.38238491,145713249.11331028,289188178.83597434,480495873.0290922,481058693.5826864,483089011.2424619,475830982.0570077,478686033.0830601,483598542.3027795,473926571.45672387,486195093.1887309,476471191.32495624,486101670.2340061
